funding_total_usd ;market ;funding_rounds;seed;venture;equity_crowdfunding;undisclosed;debt_financing;angel;grant;private_equity;post_ipo_equity;post_ipo_debt;secondary_market;product_crowdfunding;round_A;round_B;round_C;round_D;round_E;round_F;round_G;round_H;Status;firm_age
40000;Sports ;1;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
1.00E+07;Electronic Health Records ;1;0;0;0;0;10000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
20000;Hardware + Software ;1;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
300000;Internet ;1;0;0;0;0;0;300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
1118000;Finance ;2;1118000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
9179849;Software ;4;0;7179849;0;0;2000000;0;0;0;0;0;0;0;7179849;0;0;0;0;0;0;0;1;13
1.90E+08;Oil and Gas ;2;0;0;0;0;0;0;0;190125006;0;0;0;0;0;0;0;0;0;0;0;0;1;26
240000;Sales and Marketing ;3;240000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
50000;Personal Branding ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
8600000;Medical ;3;0;8600000;0;0;0;0;0;0;0;0;0;0;3000000;5600000;0;0;0;0;0;0;1;17
1850000;App Discovery ;2;0;1600000;0;0;0;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
746000;Software ;3;0;746000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3249999;Analytics ;1;0;3249999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
1233000;Consulting ;1;0;1233000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
925000;Mobile ;2;0;925000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
65000;Communities ;1;0;0;65000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1.06E+07;Cars ;3;0;10607806;0;0;0;0;0;0;0;0;0;0;3000000;5300000;2307806;0;0;0;0;0;1;18
349920;Manufacturing ;1;0;0;0;0;349920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30
1625000;Big Data Analytics ;3;0;0;0;0;0;325000;0;1300000;0;0;0;0;0;0;0;0;0;0;0;0;1;15
4000000;Wealth Management ;1;4000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
7250000;Hospitality ;3;7250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
4.30E+07;Hardware + Software ;4;0;43000000;0;0;0;0;0;0;0;0;0;0;6000000;12000000;0;15000000;10000000;0;0;0;1;21
28000;Software ;1;28000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1000000;Startups ;1;0;0;0;0;0;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
2000000;Drones ;2;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
3637713;Consumer Goods ;3;3500000;0;0;0;0;137713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1250000;E-Commerce ;1;0;1250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1250000;Search ;1;1250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1.11E+09;Cloud Data Services ;6;15000;607200000;0;0;500000000;0;0;0;0;0;0;0;7200000;250000000;350000000;0;0;0;0;0;1;18
4.78E+07;Video ;4;0;47800000;0;0;0;0;0;0;0;0;0;0;5800000;12000000;30000000;0;0;0;0;0;1;16
100000;Software ;2;100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
738516;Mobile ;2;738516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
4300000;Supply Chain Management ;2;0;4300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
4150000;Customer Service ;2;0;4150000;0;0;0;0;0;0;0;0;0;0;4150000;0;0;0;0;0;0;0;1;14
281500;Biotechnology ;1;0;281500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
5000;Medical ;1;0;0;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
6.30E+07;E-Commerce ;1;0;0;0;0;0;0;0;63000000;0;0;0;0;0;0;0;0;0;0;0;0;1;28
500000;Consumers ;2;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
6.70E+07;Storage ;4;0;67000000;0;0;0;0;0;0;0;0;0;0;5000000;12000000;25000000;25000000;0;0;0;0;1;17
4.85E+07;E-Commerce ;4;0;0;0;0;10000000;2500000;0;36000000;0;0;0;0;0;0;0;0;0;0;0;0;1;16
3920000;Reviews and Recommendations ;4;3020000;0;0;0;0;900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
1199998;Video ;1;1199998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
25000;Sports ;1;0;0;0;0;25000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
1730000;Health and Wellness ;1;0;1730000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
1000000;Mobile ;2;0;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
20000;Design ;1;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1974640;Manufacturing ;3;0;1974640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
5.20E+07;Advertising ;4;0;50000000;0;0;2000000;0;0;0;0;0;0;0;9000000;17000000;24000000;0;0;0;0;0;1;17
6400000;Fashion ;5;1000000;4400000;0;1000000;0;0;0;0;0;0;0;0;4400000;0;0;0;0;0;0;0;1;13
4650000;Wine And Spirits ;2;150000;4500000;0;0;0;0;0;0;0;0;0;0;4500000;0;0;0;0;0;0;0;1;14
7516703;Mobile ;4;0;6016703;0;0;0;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
7000000;Software ;1;0;7000000;0;0;0;0;0;0;0;0;0;0;0;7000000;0;0;0;0;0;0;1;25
3000000;Search ;1;0;3000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
1.86E+07;Curated Web ;3;0;16300000;0;0;0;2300000;0;0;0;0;0;0;0;6000000;10300000;0;0;0;0;0;1;16
200000;Games ;1;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3.32E+07;Big Data ;3;2100000;31100000;0;0;0;0;0;0;0;0;0;0;10100000;21000000;0;0;0;0;0;0;1;13
2.00E+08;Big Data ;1;0;0;0;0;0;0;0;200000000;0;0;0;0;0;0;0;0;0;0;0;0;1;15
2000000;Semiconductors ;1;0;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
1.20E+07;Semiconductors ;1;0;12000000;0;0;0;0;0;0;0;0;0;0;0;12000000;0;0;0;0;0;0;1;25
1650000;Collaboration ;2;1400000;0;0;0;0;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1.90E+07;Enterprise Security ;3;1000000;18000000;0;0;0;0;0;0;0;0;0;0;6000000;12000000;0;0;0;0;0;0;1;15
3.83E+07;Translation ;3;0;38300000;0;0;0;0;0;0;0;0;0;0;3300000;15000000;20000000;0;0;0;0;0;1;14
7.00E+07;Pharmaceuticals ;1;0;0;0;0;0;0;0;0;70000000;0;0;0;0;0;0;0;0;0;0;0;1;16
2.00E+07;Biotechnology ;1;0;0;0;0;20000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27
1398000;Renewable Energies ;1;0;0;1398000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
1210000;Social Media ;2;1210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
2.00E+07;Entertainment ;1;0;20000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26
280000;Software ;1;0;0;0;0;280000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
1.46E+07;Manufacturing ;1;0;14600000;0;0;0;0;0;0;0;0;0;0;14600000;0;0;0;0;0;0;0;1;21
2000000;Life Sciences ;1;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
905000;Clean Technology ;1;0;905000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
35000;CRM ;3;15000;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
2000000;Apps ;1;0;0;0;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
3.25E+07;Software ;6;0;32200000;0;0;0;250000;55000;0;0;0;0;0;1000000;5000000;16500000;9700000;0;0;0;0;1;17
1950000;Biotechnology ;1;0;1950000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
250000;Health Care ;1;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
275000;Software ;1;0;0;0;0;275000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
2773471;Biotechnology ;2;0;2500000;0;0;273471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
3441250;Biotechnology ;3;0;846250;0;0;2595000;0;0;0;0;0;0;0;56250;790000;0;0;0;0;0;0;1;19
1000000;Biotechnology ;1;0;1000000;0;0;0;0;0;0;0;0;0;0;1000000;0;0;0;0;0;0;0;1;16
50000;Software ;1;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
402500;Music ;1;402500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
75000;Enterprise Software ;1;0;0;0;0;75000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3.80E+07;Internet ;1;0;38000000;0;0;0;0;0;0;0;0;0;0;38000000;0;0;0;0;0;0;0;1;24
2000000;Enterprise Software ;1;0;2000000;0;0;0;0;0;0;0;0;0;0;2000000;0;0;0;0;0;0;0;1;18
2000000;Transportation ;2;2000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
300000;Energy ;1;300000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
1200000;Hardware + Software ;1;0;1200000;0;0;0;0;0;0;0;0;0;0;1200000;0;0;0;0;0;0;0;1;22
3.33E+07;Software ;3;0;33300000;0;0;0;0;0;0;0;0;0;0;8000000;13300000;12000000;0;0;0;0;0;1;15
1.63E+07;Cloud Management ;2;0;16300000;0;0;0;0;0;0;0;0;0;0;0;16300000;0;0;0;0;0;0;1;17
2.06E+07;Advertising Platforms ;4;0;19800000;0;800000;0;0;0;0;0;0;0;0;5500000;12500000;1800000;0;0;0;0;0;1;17
130000;Freemium ;1;0;0;0;0;130000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3000000;Advertising ;1;0;0;0;0;0;3000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
325000;Games ;2;0;0;0;0;0;325000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
695801;Hardware + Software ;3;50000;645801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
50000;Clean Technology ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
817953;Health and Wellness ;1;0;817953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23
2.19E+07;Software ;3;0;21900000;0;0;0;0;0;0;0;0;0;0;5000000;12900000;0;0;0;0;0;0;1;20
3.00E+07;Web Hosting ;1;0;0;0;0;30000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33
421057;Motion Capture ;1;0;421057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1.41E+07;iPad ;3;0;14078664;0;0;0;0;0;0;0;0;0;0;14078664;0;0;0;0;0;0;0;0;18
5.28E+07;Hardware + Software ;2;0;52800000;0;0;0;0;0;0;0;0;0;0;0;52800000;0;0;0;0;0;0;1;28
5.25E+07;Hardware + Software ;4;0;52500000;0;0;0;0;0;0;0;0;0;0;0;13500000;35000000;0;0;0;0;0;1;17
3200000;Wireless ;3;0;3200000;0;0;0;0;0;0;0;0;0;0;3200000;0;0;0;0;0;0;0;1;22
600000;Internet of Things ;1;600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3000000;Manufacturing ;1;0;3000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
1500;Fashion ;1;0;0;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
2.05E+07;Enterprise Software ;2;0;20500000;0;0;0;0;0;0;0;0;0;0;0;20500000;0;0;0;0;0;0;1;28
3043610;Health and Wellness ;2;0;1521803;0;0;1521807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
50000;Advertising ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
3934286;Software ;1;0;3934286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
3800000;Health and Wellness ;1;0;3800000;0;0;0;0;0;0;0;0;0;0;3800000;0;0;0;0;0;0;0;1;12
6.00E+07;E-Commerce ;1;0;0;0;0;0;0;0;60000000;0;0;0;0;0;0;0;0;0;0;0;0;1;26
1000000;Portals ;1;0;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
79725;Software ;1;79725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
3400000;Sustainability ;1;0;3400000;0;0;0;0;0;0;0;0;0;0;3400000;0;0;0;0;0;0;0;1;19
3500000;Health and Wellness ;1;0;3500000;0;0;0;0;0;0;0;0;0;0;0;3500000;0;0;0;0;0;0;1;14
488742;Mobile ;1;0;0;0;0;0;488742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
3400000;Curated Web ;1;3400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1.00E+08;Clean Technology ;1;0;0;0;0;0;0;0;100000000;0;0;0;0;0;0;0;0;0;0;0;0;1;15
290000;Mobile Advertising ;2;290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
600000;Biotechnology ;1;0;600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
275000;Software ;1;0;275000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26
630000;Music ;3;630000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
7675000;Hardware + Software ;2;0;3175000;0;0;4500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
4.29E+07;Medical ;4;0;40865031;0;0;1569888;0;0;500100;0;0;0;0;0;0;0;0;0;0;0;0;1;20
1150000;Crowdsourcing ;1;1150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
1.50E+07;Credit ;1;0;15000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
2200000;Intelligent Systems ;2;1700000;0;0;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
2.14E+07;Email ;4;0;18400000;0;0;0;3000000;0;0;0;0;0;0;13300000;0;0;0;0;0;0;0;1;21
5900008;Clean Technology ;1;5900008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;32
400000;Local Businesses ;1;400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
187500;Social Network Media ;1;0;187500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
2.36E+07;Curated Web ;1;0;23598258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31
1999999;Software ;1;0;1999999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31
40000;K-12 Education ;2;20000;0;0;0;0;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1.39E+08;Semiconductors ;9;0;107116000;0;0;0;0;0;23500000;0;0;0;0;0;0;12500000;48000000;10700000;0;0;0;1;26
25000;Credit Cards ;1;25000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
580000;Social Media ;1;580000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
6700003;Software ;2;0;3300000;0;0;0;0;0;3400003;0;0;0;0;3300000;0;0;0;0;0;0;0;1;29
40000;Recruiting ;1;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1.42E+07;Security ;2;0;14200000;0;0;0;0;0;0;0;0;0;0;0;11000000;0;0;0;0;0;0;1;18
125000;Music ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1000000;Software ;1;0;1000000;0;0;0;0;0;0;0;0;0;0;1000000;0;0;0;0;0;0;0;1;23
150000;Software ;1;150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
80000;Marketplaces ;1;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
3100000;Shipping ;2;3100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
1.65E+07;E-Commerce ;3;1500000;15000000;0;0;0;0;0;0;0;0;0;0;5000000;10000000;0;0;0;0;0;0;1;15
5000;Software ;1;0;0;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
5493124;Health Care ;1;0;5493124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
1.21E+07;Restaurants ;4;125000;12000000;0;0;0;0;0;0;0;0;0;0;2000000;10000000;0;0;0;0;0;0;1;15
8000000;Travel ;1;0;8000000;0;0;0;0;0;0;0;0;0;0;8000000;0;0;0;0;0;0;0;1;13
1.08E+08;Biotechnology ;1;0;107676692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
6700000;Business Services ;1;0;6700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30
4550000;Web CMS ;1;0;4550000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28
2.30E+07;E-Commerce ;2;0;23000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
400000;Product Search ;2;400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
20000;Software ;1;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
50000;E-Commerce ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
685000;Automotive ;2;685000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
7.97E+07;Medical ;4;0;79729839;0;0;0;0;0;0;0;0;0;0;0;0;35000000;5000026;0;0;0;0;1;22
2134000;Software ;8;1934000;0;0;0;0;0;175000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
2500000;Curated Web ;1;0;2500000;0;0;0;0;0;0;0;0;0;0;2500000;0;0;0;0;0;0;0;1;30
1.59E+07;Messaging ;2;0;15873700;0;0;0;0;0;0;0;0;0;0;6326500;9547200;0;0;0;0;0;0;1;22
3.80E+07;Analytics ;4;8000000;30000000;0;0;0;0;0;0;0;0;0;0;8000000;12000000;10000000;0;0;0;0;0;1;21
6500000;Freelancers ;2;0;6500000;0;0;0;0;0;0;0;0;0;0;1500000;5000000;0;0;0;0;0;0;1;16
500000;Enterprise Software ;1;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
16000;Advertising ;1;0;16000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
3500000;Health Care ;1;0;3500000;0;0;0;0;0;0;0;0;0;0;3500000;0;0;0;0;0;0;0;1;25
3.03E+07;Music ;4;0;30300000;0;0;0;0;0;0;0;0;0;0;0;0;0;12300000;0;0;0;0;0;26
7709323;Cloud Computing ;1;0;0;0;0;0;0;0;7709323;0;0;0;0;0;0;0;0;0;0;0;0;1;20
7.66E+07;Education ;6;0;70784107;0;0;5767914;0;0;0;0;0;0;0;0;0;18000000;0;0;0;0;0;1;18
1795083;Mobile ;3;0;1795083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
50000;Software ;1;0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
1500000;Android ;2;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
1.37E+07;Clean Technology ;1;0;13700000;0;0;0;0;0;0;0;0;0;0;0;13700000;0;0;0;0;0;0;1;18
500000;Energy ;2;400000;100000;0;0;0;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;0;1;18
250000;Photography ;1;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
200000;Mobile ;1;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
3.60E+07;Web Hosting ;5;0;35985886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9000000;0;0;0;1;25
4099999;Biotechnology ;2;2350000;1749999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
8500000;Legal ;2;0;8500000;0;0;0;0;0;0;0;0;0;0;2500000;6000000;0;0;0;0;0;0;1;20
1800000;Promotional ;2;0;1800000;0;0;0;0;0;0;0;0;0;0;1800000;0;0;0;0;0;0;0;1;13
310000;Health Care ;1;0;310000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
2248905;Hardware + Software ;2;0;1955244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20
50000;Health and Wellness ;1;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
1200000;Messaging ;1;0;0;0;0;0;1200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
460000;Reputation ;1;460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
2.09E+07;Mobile ;1;0;20850000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
50000;Clean Technology ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
6620650;Manufacturing ;2;0;6620650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
7.14E+07;Clean Technology ;4;0;31400000;0;0;40000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
7595758;Clean Technology ;4;0;7595758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24
100000;Renewable Energies ;1;100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
500000;Software ;1;0;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
2.74E+07;Enterprise Software ;4;0;27394996;0;0;0;0;0;0;0;0;0;0;0;10000000;0;0;0;0;0;0;1;19
295000;Curated Web ;1;0;295000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
1725000;Clean Technology ;1;0;1725000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17
2700000;E-Commerce ;1;0;2700000;0;0;0;0;0;0;0;0;0;0;2700000;0;0;0;0;0;0;0;1;16
1.07E+07;Organic ;4;0;8700000;0;0;0;2000000;0;0;0;0;0;0;4000000;0;0;0;0;0;0;0;1;17
5.88E+07;Clean Technology ;3;0;58750000;0;0;0;0;0;0;0;0;0;0;0;23500000;32500000;0;0;0;0;0;1;14
3272000;Software ;6;250000;2350000;0;0;0;0;672000;0;0;0;0;0;2350000;0;0;0;0;0;0;0;1;15
3579182;Clean Technology ;1;0;3579182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
2300000;Software ;1;0;0;0;0;0;0;0;0;0;0;0;2300000;0;0;0;0;0;0;0;0;1;14
550000;Software ;4;0;0;0;0;550000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
5828444;Clean Technology ;4;0;1500000;0;0;4328444;0;0;0;0;0;0;0;1500000;0;0;0;0;0;0;0;1;15
3.16E+07;Clean Technology ;4;0;22822684;0;0;0;0;0;1000000;0;0;0;0;0;13000000;0;0;0;0;0;0;1;17
1.50E+07;Clean Technology ;4;0;11021489;0;0;4000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;29
1.30E+08;Clean Technology ;4;0;30500000;0;0;0;0;99800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
837000;Environmental Innovation ;1;0;0;0;837000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
3900000;Supply Chain Management ;2;0;0;0;0;2500000;1400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
1.40E+07;Clean Technology ;2;0;14000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
2805000;Energy Efficiency ;2;2200000;0;0;0;0;605000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13
4.53E+07;Heavy Industry ;3;0;38000000;0;0;7299500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26
3300000;Energy Efficiency ;2;800000;2500000;0;0;0;0;0;0;0;0;0;0;2500000;0;0;0;0;0;0;0;1;14
6500000;E-Commerce ;2;0;6500000;0;0;0;0;0;0;0;0;0;0;1500000;5000000;0;0;0;0;0;0;1;16
565000;Celebrity ;1;565000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
800000;Education ;1;800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
6000000;Education ;1;0;6000000;0;0;0;0;0;0;0;0;0;0;6000000;0;0;0;0;0;0;0;1;12
950000;Advertising ;3;700000;0;0;0;0;250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
700000;Mobile ;2;0;700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
1000000;Biotechnology ;1;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
9.17E+07;Biotechnology ;5;0;83670000;0;0;8000000;0;0;0;0;0;0;0;33120000;12400000;0;0;0;0;0;0;1;17
300000;Education ;3;170000;0;0;0;0;30000;0;100000;0;0;0;0;0;0;0;0;0;0;0;0;1;12
3.69E+07;Biotechnology ;6;0;26909736;0;0;10000000;0;0;0;0;0;0;0;634500;0;18000000;0;0;0;0;0;1;16
8000000;Enterprise Software ;2;0;8000000;0;0;0;0;0;0;0;0;0;0;4200000;3800000;0;0;0;0;0;0;1;13
7.40E+07;Content ;5;0;74000000;0;0;0;0;0;0;0;0;0;0;4000000;6000000;10000000;54000000;0;0;0;0;1;19
1.40E+07;Web Hosting ;4;0;14008001;0;0;0;0;0;0;0;0;0;0;4010000;9998001;0;0;0;0;0;0;1;16
6500000;Marketplaces ;2;0;5000000;0;0;0;1500000;0;0;0;0;0;0;5000000;0;0;0;0;0;0;0;0;20
